sub_id, sub_sex, sub_age, gain_color, block_id, trial_id, gain_on_left, gamble_duration, gambles, sure_reward, choose_sure, reaction_time
18112201,1,55,b,-1,57,1,1.5,[7 -8;1 -7;7 -4;4 -6;7 -7;1 -3;2 -8;],[2;-6;3;3;-5;3;2;],1,1.310
18112201,1,55,b,-1,39,1,1.5,[2 -3;8 -3;9 -5;8 -2;7 -8;7 -4;2 -8;],[5;-3;-6;2;2;9;0;],1,1.768
18112201,1,55,b,-1,137,0,1.5,[4 -9;2 -4;9 -5;2 -6;5 -2;5 -5;3 -1;],[4;6;9;0;5;2;0;],0,2.189
18112201,1,55,b,-2,17,1,1.5,[7 -1;2 -7;2 -1;8 -2;8 -9;4 -8;3 -4;],[-6;-1;-1;-7;-4;-7;1;],NaN,NaN
18112201,1,55,b,-2,286,1,1.5,[8 -1;3 -2;6 -7;7 -2;8 -7;1 -2;7 -8;],[-3;-5;7;-3;-3;7;2;],NaN,NaN
18112201,1,55,b,-2,282,1,1.5,[3 -8;6 -2;4 -9;5 -5;6 -7;6 -4;1 -5;],[-6;-2;-4;3;-9;-2;-1;],-1,0.000
18112201,1,55,b,-2,277,1,1.5,[1 -4;6 -3;6 -6;2 -7;7 -6;5 -7;2 -9;],[-1;-3;6;-3;2;1;-1;],-1,-1.000
18112201,1,55,b,-2,254,0,1.5,[2 -7;5 -3;9 -4;1 -7;2 -2;6 -8;1 -4;],[3;-9;-4;-2;-1;-8;-1;],-1,0.000
18112301,0,20,r,-1,315,0,1.5,[5 -8;2 -2;1 -5;4 -6;6 -7;7 -7;6 -3;],[1;-2;6;2;8;8;1;],1,0.836
18112301,0,20,r,-1,87,0,1.5,[2 -8;1 -7;2 -3;6 -2;3 -1;5 -9;2 -2;],[-8;1;-5;-3;-9;5;1;],1,0.000
18112301,0,20,r,-1,127,0,1.5,[6 -1;2 -3;4 -9;9 -5;3 -4;2 -1;9 -1;],[-6;6;-2;-9;6;-7;-1;],1,0.979
18112301,0,20,r,-2,144,0,1.5,[8 -6;1 -4;1 -3;6 -7;3 -8;7 -7;3 -1;],[2;6;0;-2;-1;1;0;],1,0.482
18112301,0,20,r,-2,307,0,1.5,[4 -9;3 -8;8 -7;9 -3;4 -8;3 -7;3 -6;],[0;-6;-6;-1;-1;-9;0;],0,0.526
18112301,0,20,r,-2,65,0,1.5,[1 -9;1 -1;5 -7;1 -4;5 -5;2 -6;1 -5;],[7;4;-5;-1;5;-5;1;],0,0.475
18112301,0,20,r,-2,286,0,1.5,[9 -9;8 -1;5 -6;3 -7;5 -4;1 -8;6 -7;],[2;0;1;-2;0;5;-1;],NaN,NaN
18112301,0,20,r,-2,61,1,1.5,[4 -3;3 -1;3 -6;2 -4;1 -9;3 -7;7 -7;],[4;9;4;2;-2;-4;-1;],NaN,NaN
18112301,0,20,r,-2,142,1,1.5,[6 -2;4 -9;8 -9;3 -5;7 -2;7 -1;4 -3;],[0;6;-1;5;3;-3;1;],1,0.705
18112301,0,20,r,-2,300,0,1.5,[5 -3;9 -4;3 -6;1 -9;7 -6;4 -3;7 -3;],[0;-4;2;5;-9;-2;-2;],1,0.530
18112301,0,20,r,-2,178,0,1.5,[4 -5;2 -2;8 -1;9 -4;1 -2;3 -7;9 -8;],[-5;-1;-3;-7;1;-8;0;],0,0.467
18112301,0,20,r,-2,7,1,1.5,[2 -1;3 -5;7 -4;6 -1;5 -8;3 -1;7 -9;],[-7;-1;4;-2;-3;-4;1;],0,0.614
18112301,0,20,r,-2,47,1,1.5,[3 -1;8 -8;4 -1;4 -6;5 -8;8 -1;1 -2;],[-4;-1;6;-7;1;4;2;],0,0.522
18112301,0,20,r,1,1,1,1.5,[2 -3;],[1;],1,0.657
18112301,0,20,r,1,2,1,1.5,[5 -6;3 -8;6 -5;8 -2;4 -1;6 -4;4 -4;],[-3;6;1;-2;6;-2;1;],1,0.586
18112301,0,20,r,1,3,0,1.5,[6 -7;9 -8;5 -4;],[-4;1;-1;],0,0.712
18112301,0,20,r,1,4,1,1.5,[1 -6;3 -5;6 -9;8 -3;2 -6;7 -7;8 -8;],[2;2;3;-4;-2;-4;-1;],0,0.442
18112301,0,20,r,1,5,0,1.5,[1 -6;8 -5;7 -6;8 -4;5 -7;7 -5;3 -1;],[5;4;-7;2;6;-6;-1;],0,0.374
18112301,0,20,r,1,6,0,1.5,[5 -2;2 -3;6 -1;5 -9;9 -5;8 -1;5 -5;],[-2;2;-3;-6;5;5;0;],1,0.644
18112301,0,20,r,1,7,1,1.5,[2 -1;3 -5;7 -4;6 -1;5 -8;3 -1;7 -9;],[-7;-1;4;-2;-3;-4;1;],1,0.624
18112301,0,20,r,1,8,1,1.5,[3 -9;4 -7;2 -8;3 -5;3 -2;1 -6;1 -2;],[-4;3;-7;1;-8;3;1;],1,0.429
18112301,0,20,r,1,9,1,1.5,[6 -3;4 -2;3 -7;8 -4;7 -5;3 -5;4 -9;],[-4;3;-6;9;-1;-2;1;],1,0.642
18112301,0,20,r,1,10,1,1.5,[4 -9;6 -2;3 -5;9 -9;5 -2;4 -6;5 -8;],[-4;-9;2;-1;-1;-7;1;],1,0.925
18112301,0,20,r,1,11,1,1.5,[4 -3;4 -9;7 -2;8 -2;8 -8;8 -6;4 -8;],[-5;9;0;1;-2;5;0;],1,0.454
18112301,0,20,r,1,12,1,1.5,[3 -5;5 -2;6 -5;7 -7;2 -9;4 -1;8 -5;],[1;-8;2;0;-7;5;-1;],0,0.497
18112301,0,20,r,1,13,0,1.5,[8 -9;1 -8;5 -4;1 -6;9 -9;2 -1;4 -2;],[4;5;4;4;-6;1;-1;],0,0.483
18112301,0,20,r,1,14,0,1.5,[6 -3;5 -8;1 -4;7 -8;5 -2;1 -2;9 -8;],[-7;0;-1;2;4;-4;-1;],1,0.444
18112301,0,20,r,1,15,0,1.5,[7 -2;2 -7;6 -3;7 -5;1 -8;4 -3;1 -6;],[-2;1;-1;-3;4;-1;1;],1,0.440
18112301,0,20,r,1,16,1,1.5,[1 -8;1 -2;4 -6;],[1;0;-2;],1,0.692
18112301,0,20,r,1,17,0,1.5,[9 -1;3 -6;6 -5;],[1;-3;-2;],1,0.712
18112301,0,20,r,1,18,1,1.5,[6 -6;],[1;],NaN,NaN
18112301,0,20,r,1,19,0,1.5,[4 -5;1 -6;1 -4;6 -3;4 -3;6 -9;6 -8;],[0;-2;-2;8;1;-8;0;],1,0.502
18112301,0,20,r,1,20,1,1.5,[8 -5;5 -8;4 -9;5 -5;],[4;-6;-8;0;],1,0.524
18112301,0,20,r,1,21,1,1.5,[8 -2;1 -1;3 -7;2 -2;1 -7;9 -8;7 -8;],[3;-8;-1;9;2;4;-2;],1,0.500
18112301,0,20,r,1,22,0,1.5,[2 -3;3 -6;5 -7;9 -2;],[-1;2;4;-2;],0,0.490
18112301,0,20,r,1,23,1,1.5,[4 -4;1 -3;9 -9;7 -3;8 -5;5 -9;2 -5;],[-3;-1;-2;5;5;4;1;],1,0.412
18112301,0,20,r,1,24,0,1.5,[8 -6;9 -9;7 -5;6 -6;3 -4;4 -6;7 -2;],[2;-1;-1;2;-2;0;0;],0,0.368
18112301,0,20,r,1,25,1,1.5,[3 -6;8 -3;7 -2;3 -8;9 -9;1 -7;1 -1;],[-3;-3;6;0;1;4;0;],1,0.448
18112301,0,20,r,1,26,0,1.5,[1 -8;5 -7;5 -4;9 -5;1 -7;1 -2;3 -7;],[-1;2;-1;-2;1;6;2;],1,0.444
18112301,0,20,r,1,27,0,1.5,[1 -6;8 -3;9 -6;8 -4;],[3;4;-1;-1;],0,0.820
18112301,0,20,r,1,28,1,1.5,[5 -5;1 -2;1 -5;7 -1;6 -4;6 -3;5 -2;],[-2;4;-2;-3;5;1;1;],0,0.440
18112301,0,20,r,1,29,0,1.5,[7 -8;],[0;],1,0.908
18112301,0,20,r,1,30,0,1.5,[7 -7;4 -4;3 -9;9 -5;6 -7;2 -5;4 -1;],[0;3;-9;0;6;4;1;],0,0.463
18112301,0,20,r,1,31,0,1.5,[3 -7;8 -8;1 -1;5 -3;6 -9;8 -3;9 -4;],[6;2;-4;-5;-2;-2;-1;],0,0.448
18112301,0,20,r,1,32,0,1.5,[2 -4;9 -8;1 -2;7 -7;5 -7;3 -4;5 -4;],[-4;-1;-3;5;-2;5;1;],1,0.515
18112301,0,20,r,1,33,0,1.5,[7 -3;8 -1;2 -1;8 -3;4 -8;9 -4;3 -1;],[0;5;-3;-1;0;1;1;],0,0.382
18112301,0,20,r,1,34,0,1.5,[6 -7;],[0;],1,0.876
18112301,0,20,r,1,35,1,1.5,[6 -2;5 -9;3 -3;6 -6;9 -1;7 -2;7 -1;],[4;0;0;-3;-8;-3;-2;],0,0.407
18112301,0,20,r,1,36,1,1.5,[8 -7;6 -4;7 -2;5 -2;7 -8;2 -3;2 -7;],[-1;0;1;6;2;3;-1;],1,0.436
18112301,0,20,r,1,37,1,1.5,[9 -1;7 -1;3 -1;7 -9;6 -8;],[3;2;5;4;-1;],1,0.472
18112301,0,20,r,1,38,0,1.5,[1 -1;4 -8;8 -8;7 -1;6 -7;3 -3;8 -3;],[-7;-2;-3;-1;-1;8;-1;],0,0.379
18112301,0,20,r,1,39,0,1.5,[2 -8;5 -2;1 -4;9 -4;9 -1;7 -8;7 -5;],[3;6;2;-8;-5;-4;-1;],0,0.377
18112301,0,20,r,1,40,0,1.5,[8 -2;9 -5;8 -1;8 -6;6 -8;4 -3;8 -4;],[5;-4;-2;1;1;9;-2;],0,0.488
18112301,0,20,r,1,41,1,1.5,[9 -4;1 -5;5 -6;8 -4;2 -9;8 -7;4 -4;],[-1;-1;-1;-3;0;3;0;],1,0.434
18112301,0,20,r,1,42,0,1.5,[5 -1;7 -3;3 -1;5 -9;3 -9;4 -9;8 -9;],[3;1;-4;-1;-7;-6;-1;],1,0.374
18112301,0,20,r,1,43,1,1.5,[3 -2;8 -9;1 -1;3 -9;4 -8;8 -1;3 -7;],[-2;-1;-2;1;5;7;-2;],1,0.444
18112301,0,20,r,1,44,0,1.5,[3 -5;4 -5;4 -1;2 -3;8 -1;7 -4;8 -9;],[-3;2;3;-3;-1;5;0;],1,0.432
18112301,0,20,r,1,45,0,1.5,[9 -7;4 -9;5 -4;8 -8;],[-3;-4;2;-1;],1,0.872
18112301,0,20,r,1,46,0,1.5,[5 -8;4 -8;7 -8;4 -6;7 -4;2 -2;9 -8;],[-9;0;8;4;5;1;2;],1,0.908
18112301,0,20,r,1,47,1,1.5,[3 -1;8 -8;4 -1;4 -6;5 -8;8 -1;1 -2;],[-4;-1;6;-7;1;4;2;],0,0.989
18112301,0,20,r,1,48,0,1.5,[7 -1;7 -3;4 -2;9 -9;7 -5;9 -2;7 -9;],[7;4;1;0;-6;-1;-1;],1,0.475
18112301,0,20,r,1,49,0,1.5,[9 -6;1 -7;1 -5;3 -1;4 -7;9 -8;7 -2;],[-2;1;-3;0;-1;-9;-1;],0,0.406
18112301,0,20,r,1,50,1,1.5,[4 -3;6 -9;7 -9;5 -7;8 -5;8 -4;3 -7;],[-8;-8;5;7;-6;2;1;],1,0.443
18112301,0,20,r,1,51,1,1.5,[7 -8;5 -3;7 -5;2 -7;7 -3;2 -4;1 -3;],[-9;5;-2;5;4;2;1;],1,0.615
18112301,0,20,r,1,52,1,1.5,[6 -5;6 -8;9 -8;1 -6;4 -8;2 -4;6 -9;],[3;-3;4;-7;2;2;1;],1,0.908
18112301,0,20,r,1,53,1,1.5,[8 -7;2 -6;4 -8;8 -5;1 -1;3 -1;3 -3;],[-6;0;2;3;4;1;0;],1,0.733
18112301,0,20,r,1,54,1,1.5,[5 -5;8 -5;5 -6;4 -8;6 -3;7 -8;3 -2;],[-9;-3;-8;-2;-1;0;-1;],0,0.573
18112301,0,20,r,1,55,0,1.5,[3 -8;9 -9;4 -2;7 -6;3 -1;3 -7;8 -2;],[-7;8;6;1;1;1;-1;],0,0.444
18112301,0,20,r,1,56,0,1.5,[1 -4;8 -9;2 -7;7 -7;6 -2;2 -5;8 -1;],[-3;-5;-2;0;-2;0;1;],0,0.395
18112301,0,20,r,1,57,0,1.5,[2 -5;4 -3;7 -4;4 -4;9 -9;8 -4;8 -7;],[-6;2;0;0;-5;6;-1;],1,0.464
18112301,0,20,r,1,58,0,1.5,[3 -1;8 -7;6 -8;4 -4;1 -1;4 -2;5 -7;],[-8;-2;-6;7;2;4;-1;],1,0.475
18112301,0,20,r,1,59,1,1.5,[6 -8;9 -3;6 -2;6 -9;6 -7;8 -4;4 -8;],[-2;8;0;3;4;-6;1;],1,0.750
18112301,0,20,r,1,60,1,1.5,[2 -5;2 -9;5 -7;7 -9;2 -1;8 -7;4 -7;],[-8;-1;5;-5;4;-5;-2;],1,0.438
18112301,0,20,r,1,61,1,1.5,[4 -3;3 -1;3 -6;2 -4;1 -9;3 -7;7 -7;],[4;9;4;2;-2;-4;-1;],1,0.426
18112301,0,20,r,1,62,0,1.5,[1 -9;9 -3;1 -2;2 -2;5 -5;6 -5;5 -1;],[-5;-1;-2;5;-4;-2;-1;],0,0.447
18112301,0,20,r,1,63,0,1.5,[5 -8;6 -9;],[-3;-2;],NaN,NaN
18112301,0,20,r,1,64,1,1.5,[3 -3;5 -8;4 -3;4 -4;1 -3;7 -2;8 -3;],[-3;1;1;0;0;0;0;],0,0.435
18112301,0,20,r,1,65,0,1.5,[1 -9;1 -1;5 -7;1 -4;5 -5;2 -6;1 -5;],[7;4;-5;-1;5;-5;1;],1,-7.000
18112301,0,20,r,1,66,0,1.5,[1 -8;3 -1;3 -6;1 -3;9 -7;9 -6;5 -4;],[-5;-5;3;3;2;6;0;],0,0.781
18112301,0,20,r,1,67,1,1.5,[3 -5;2 -2;],[-7;-1;],1,0.736
18112301,0,20,r,1,68,1,1.5,[9 -9;2 -5;3 -3;2 -7;6 -6;7 -2;7 -8;],[1;5;2;-3;5;3;0;],1,0.568
18112301,0,20,r,1,69,0,1.5,[6 -6;4 -1;2 -9;2 -2;5 -2;4 -6;8 -9;],[4;2;-2;4;6;6;-1;],1,0.503
18112301,0,20,r,1,70,1,1.5,[5 -1;8 -3;4 -7;2 -5;5 -3;1 -6;6 -1;],[2;3;-6;-1;7;-4;-1;],0,0.496
18112301,0,20,r,1,71,0,1.5,[1 -2;8 -3;5 -5;4 -6;4 -7;5 -4;3 -4;],[3;-5;-1;5;3;2;1;],1,0.546
18112301,0,20,r,1,72,0,1.5,[6 -8;5 -2;6 -1;3 -5;2 -5;7 -7;4 -6;],[-4;-2;6;-3;6;-5;-2;],1,0.482
18112301,0,20,r,1,73,0,1.5,[6 -7;6 -1;2 -6;7 -6;1 -3;4 -8;1 -4;],[1;0;-1;0;8;-2;-1;],1,0.572
18112301,0,20,r,1,74,1,1.5,[1 -4;7 -6;4 -5;1 -7;3 -3;4 -2;2 -6;],[-7;-2;3;5;3;-3;1;],1,0.659
18112301,0,20,r,1,75,0,1.5,[7 -7;1 -9;2 -2;5 -9;4 -5;1 -2;8 -1;],[-2;9;-1;-2;5;2;-2;],0,0.702
18112301,0,20,r,1,76,0,1.5,[6 -4;6 -6;5 -2;7 -3;2 -2;2 -6;9 -4;],[-3;-2;-1;2;-6;9;0;],0,0.328
18112301,0,20,r,1,77,0,1.5,[8 -6;8 -4;6 -1;9 -5;2 -8;6 -4;8 -9;],[4;-6;2;-6;2;4;-1;],1,0.678
18112301,0,20,r,1,78,0,1.5,[6 -3;7 -6;6 -9;8 -3;5 -5;1 -9;5 -8;],[-9;1;-3;-2;2;-4;1;],1,0.651
18112301,0,20,r,1,79,1,1.5,[8 -8;3 -3;1 -9;4 -7;5 -3;5 -1;8 -3;],[-4;9;0;-2;-1;5;1;],0,0.718
18112301,0,20,r,1,80,1,1.5,[7 -1;8 -3;1 -2;9 -7;3 -2;1 -1;4 -9;],[0;-5;2;0;6;-5;-1;],1,0.751
18112301,0,20,r,1,81,0,1.5,[1 -9;7 -8;4 -8;2 -7;7 -1;2 -1;2 -3;],[-3;3;0;-3;0;2;0;],1,0.943
18112301,0,20,r,1,82,0,1.5,[8 -2;8 -9;6 -3;4 -5;1 -7;3 -9;4 -3;],[3;6;-3;-1;0;-2;-1;],1,0.511
18112301,0,20,r,1,83,1,1.5,[8 -2;6 -5;6 -6;4 -4;7 -4;5 -6;7 -7;],[7;-1;5;-6;-1;2;1;],1,0.392
18112301,0,20,r,1,84,1,1.5,[4 -1;6 -6;1 -5;5 -2;1 -7;4 -5;4 -4;],[-2;-3;-4;-2;0;6;1;],1,0.670
18112301,0,20,r,1,85,1,1.5,[4 -3;2 -7;8 -2;1 -3;7 -8;5 -5;5 -8;],[1;0;2;5;-2;4;0;],1,0.480
18112301,0,20,r,1,86,1,1.5,[2 -3;8 -2;2 -4;9 -6;1 -2;2 -5;3 -1;],[4;1;-7;-7;-4;-6;0;],0,0.499
18112301,0,20,r,1,87,0,1.5,[2 -8;1 -7;2 -3;6 -2;3 -1;5 -9;2 -2;],[-8;1;-5;-3;-9;5;1;],1,0.516
18112301,0,20,r,1,88,0,1.5,[9 -3;1 -9;6 -7;8 -3;2 -9;9 -7;5 -6;],[-4;-2;7;-3;1;3;2;],1,0.518
18112301,0,20,r,1,89,0,1.5,[8 -2;5 -4;1 -4;5 -9;],[8;2;-3;-1;],1,0.747
18112301,0,20,r,1,90,0,1.5,[8 -3;6 -2;1 -2;3 -7;7 -9;9 -7;3 -6;],[3;-5;2;6;6;3;1;],1,0.634
18112301,0,20,r,1,91,0,1.5,[7 -9;2 -4;2 -8;9 -7;],[-1;2;-1;2;],1,0.603
18112301,0,20,r,1,92,1,1.5,[9 -5;8 -8;9 -1;6 -8;9 -3;2 -8;6 -9;],[-5;-1;1;3;-3;8;0;],1,1.000
18112301,0,20,r,1,93,0,1.5,[3 -6;1 -3;1 -4;9 -3;9 -8;7 -8;6 -5;],[2;1;3;-2;-2;-6;-1;],1,0.638
18112301,0,20,r,1,94,1,1.5,[3 -1;6 -3;4 -2;9 -3;7 -3;4 -3;4 -7;],[0;0;-2;-1;-9;2;2;],1,0.434
18112301,0,20,r,1,95,1,1.5,[2 -9;3 -7;3 -4;9 -1;7 -6;6 -2;6 -1;],[3;-5;-7;0;7;-6;-2;],0,0.447
18112301,0,20,r,1,96,0,1.5,[2 -7;3 -5;9 -6;4 -4;4 -2;7 -9;5 -3;],[2;0;3;2;1;4;1;],0,0.458
18112301,0,20,r,1,97,0,1.5,[6 -9;9 -6;3 -2;],[-1;-1;0;],1,0.782
18112301,0,20,r,1,98,1,1.5,[7 -7;7 -3;],[4;-1;],1,0.736
18112301,0,20,r,1,99,1,1.5,[7 -8;3 -5;8 -7;5 -6;],[-5;-2;2;1;],1,0.652
18112301,0,20,r,1,100,0,1.5,[8 -8;9 -4;4 -4;4 -7;8 -4;1 -1;3 -8;],[8;-1;0;6;-5;2;2;],NaN,NaN
18112301,0,20,r,1,101,1,1.5,[8 -6;1 -4;2 -9;3 -3;8 -5;5 -6;2 -7;],[-6;-2;-1;4;3;-6;-2;],NaN,NaN
18112301,0,20,r,1,102,0,1.5,[3 -6;8 -6;5 -2;2 -2;6 -5;4 -6;7 -3;],[3;1;-2;1;1;-5;1;],NaN,NaN
18112301,0,20,r,1,103,1,1.5,[9 -8;8 -2;9 -5;9 -2;8 -8;5 -2;9 -9;],[-1;1;-1;-1;-3;-4;0;],NaN,NaN
18112301,0,20,r,1,104,0,1.5,[1 -5;5 -4;7 -2;3 -9;8 -9;5 -3;5 -6;],[-1;0;-5;-4;4;-5;-2;],NaN,NaN
18112301,0,20,r,1,105,0,1.5,[9 -2;6 -4;1 -1;2 -1;4 -1;2 -9;6 -1;],[-1;-4;-2;1;1;-7;-1;],NaN,NaN
18112301,0,20,r,1,106,0,1.5,[5 -6;7 -9;6 -3;5 -3;6 -8;8 -7;9 -7;],[1;-2;2;-2;-8;2;2;],NaN,NaN
18112301,0,20,r,1,107,0,1.5,[5 -5;4 -5;8 -7;9 -4;7 -4;6 -2;1 -5;],[7;-5;5;-7;1;2;0;],NaN,NaN
18112301,0,20,r,1,108,0,1.5,[8 -2;9 -1;9 -2;7 -8;],[8;-7;8;-1;],NaN,NaN
18112301,0,20,r,1,109,0,1.5,[9 -7;9 -3;3 -8;6 -4;5 -2;9 -6;7 -4;],[-3;-3;1;-3;-7;4;-1;],0,0.514
18112301,0,20,r,1,110,0,1.5,[1 -3;3 -9;2 -4;6 -7;],[-9;4;2;-1;],1,0.623
18112301,0,20,r,1,111,0,1.5,[1 -6;],[1;],0,0.668
18112301,0,20,r,1,112,1,1.5,[3 -7;4 -9;8 -4;7 -8;2 -9;3 -3;3 -5;],[0;-5;-3;2;-7;-6;1;],1,0.414
18112301,0,20,r,1,113,1,1.5,[1 -2;2 -2;9 -6;7 -2;1 -9;9 -7;2 -6;],[4;6;6;7;-7;3;1;],1,0.563
18112301,0,20,r,1,114,0,1.5,[3 -4;7 -5;4 -1;8 -8;7 -7;6 -6;8 -5;],[9;-2;-1;1;-1;8;2;],0,0.386
18112301,0,20,r,1,115,0,1.5,[8 -6;6 -4;4 -7;9 -6;9 -7;],[5;1;0;1;-2;],1,0.408
18112301,0,20,r,1,116,1,1.5,[8 -9;7 -4;9 -3;4 -9;5 -7;3 -3;9 -6;],[-2;-6;5;-4;0;-4;1;],0,0.478
18112301,0,20,r,1,117,1,1.5,[6 -2;1 -1;],[7;-1;],NaN,NaN
18112301,0,20,r,1,118,1,1.5,[7 -8;3 -8;5 -4;9 -7;4 -9;6 -1;9 -1;],[-3;-4;-5;8;-5;-3;-1;],0,0.330
18112301,0,20,r,1,119,1,1.5,[3 -2;5 -2;3 -6;4 -4;7 -2;2 -6;2 -5;],[0;5;-4;-4;9;-2;1;],1,0.474
18112301,0,20,r,1,120,0,1.5,[6 -7;7 -8;6 -2;3 -3;3 -4;6 -3;2 -9;],[-2;1;4;2;4;3;1;],1,0.364
18112301,0,20,r,1,121,1,1.5,[5 -7;3 -3;7 -1;8 -7;6 -1;],[-4;6;-3;-4;0;],0,0.516
18112301,0,20,r,1,122,1,1.5,[6 -9;2 -1;1 -1;4 -9;3 -6;8 -6;9 -7;],[1;1;5;-4;5;4;0;],1,0.324
18112301,0,20,r,1,123,1,1.5,[7 -5;4 -2;1 -5;3 -6;8 -9;4 -9;9 -5;],[6;1;-2;-6;0;9;1;],1,0.476
18112301,0,20,r,1,124,0,1.5,[5 -3;4 -5;3 -5;6 -2;],[-8;-3;-3;-1;],1,0.532
18112301,0,20,r,1,125,1,1.5,[1 -6;6 -9;6 -2;8 -9;2 -6;5 -4;2 -7;],[-5;-8;-4;-8;0;2;0;],-1,-3.000
18112301,0,20,r,1,126,0,1.5,[4 -3;1 -2;6 -7;5 -8;],[-7;1;2;-2;],0,0.933
18112301,0,20,r,1,127,0,1.5,[6 -1;2 -3;4 -9;9 -5;3 -4;2 -1;9 -1;],[-6;6;-2;-9;6;-7;-1;],0,0.476
18112301,0,20,r,1,128,0,1.5,[5 -6;3 -6;3 -3;5 -4;7 -1;3 -4;8 -5;],[-9;-6;0;6;9;2;-1;],0,0.360
18112301,0,20,r,1,129,0,1.5,[9 -1;5 -8;8 -6;9 -9;1 -7;6 -9;6 -8;],[1;-1;4;1;-4;5;0;],1,0.607
18112301,0,20,r,1,130,1,1.5,[3 -2;5 -8;2 -1;6 -3;2 -3;8 -1;7 -1;],[7;2;0;4;1;-4;0;],0,0.564
18112301,0,20,r,1,131,1,1.5,[3 -9;3 -1;2 -8;4 -7;9 -8;8 -6;7 -6;],[-5;2;-2;3;4;-5;2;],1,0.419
18112301,0,20,r,1,132,1,1.5,[6 -8;9 -6;3 -5;9 -5;6 -9;4 -5;8 -1;],[-1;1;-2;-6;0;1;-1;],0,0.416
18112301,0,20,r,1,133,1,1.5,[5 -7;],[-2;],0,0.588
18112301,0,20,r,1,134,1,1.5,[4 -7;2 -2;8 -1;4 -9;7 -2;4 -6;6 -8;],[0;-1;-4;-6;2;3;0;],1,0.459
18112301,0,20,r,1,135,0,1.5,[9 -3;6 -2;6 -7;2 -5;6 -4;3 -7;5 -4;],[0;-3;6;-2;5;-6;1;],1,0.526
18112301,0,20,r,1,136,1,1.5,[2 -4;6 -4;7 -2;7 -1;1 -1;1 -5;2 -8;],[7;2;-5;0;6;5;1;],1,0.375
18112301,0,20,r,1,137,1,1.5,[6 -2;],[2;],0,0.502
18112301,0,20,r,1,138,1,1.5,[1 -4;9 -3;5 -1;8 -1;3 -6;4 -5;1 -5;],[-4;1;-8;4;-4;9;1;],1,0.343
18112301,0,20,r,1,139,1,1.5,[3 -1;9 -3;4 -6;4 -3;],[2;0;-3;2;],1,0.675
18112301,0,20,r,1,140,0,1.5,[2 -6;3 -5;8 -1;],[-7;-3;0;],0,0.358
18112301,0,20,r,1,141,0,1.5,[6 -5;5 -6;3 -8;9 -3;],[5;4;4;-1;],1,0.553
