sub_id, sub_sex, sub_age, gain_color, block_id, trial_id, gain_on_left, gamble_duration, gambles, sure_reward, choose_sure, reaction_time
1,1,1,b,-1,183,0,1.3,[60 -10;80 -50;70 -30;50 -10;10 -60;40 -40;70 -60;],[5;4;3;5;-10;4;-10;],1,11.516
1,1,1,b,-1,129,0,1.3,[20 -70;60 -70;80 -10;70 -60;60 -60;70 -80;30 -60;],[0;2;-9;-12;4;6;-20;],0,-1.000
1,1,1,b,-1,164,0,1.3,[80 -80;60 -30;],[-2;10;],0,0.416
1,1,1,b,-2,132,1,1.3,[20 -30;80 -60;30 -70;60 -40;50 -80;50 -50;60 -30;],[-8;-7;-4;4;9;-2;0;],NaN,NaN
1,1,1,b,-2,31,0,1.3,[40 -20;70 -60;50 -30;10 -30;10 -70;60 -30;40 -50;],[4;-4;9;-2;-3;-6;-10;],1,1.098
1,1,1,b,-2,19,0,1.3,[10 -10;10 -60;60 -20;60 -10;30 -20;70 -70;50 -70;],[3;6;5;-1;-3;3;10;],0,-6.000
18122301,1,21,b,-1,84,1,1.3,[80 -80;50 -20;30 -50;60 -40;20 -30;80 -70;40 -30;],[-11;3;1;-4;-7;0;-10;],0,26.381
18122301,1,21,b,-1,176,1,1.3,[10 -30;80 -10;20 -80;70 -80;],[6;5;2;-10;],0,4.308
18122301,1,21,b,-1,101,1,1.3,[50 -70;70 -60;40 -10;20 -50;60 -80;20 -40;20 -20;],[0;9;-1;7;-1;2;10;],1,3.689
18122301,1,21,b,-2,9,1,1.3,[30 -20;10 -10;80 -50;70 -60;60 -40;20 -60;40 -60;],[2;-3;1;-2;-1;11;20;],1,1.235
18122301,1,21,b,-2,22,1,1.3,[40 -60;20 -70;10 -50;60 -70;60 -10;40 -40;60 -30;],[3;-2;-5;5;8;-6;-20;],NaN,NaN
18122301,1,21,b,-2,13,1,1.3,[50 -40;20 -50;40 -20;20 -80;50 -20;20 -10;10 -60;],[-1;-4;2;-10;1;2;-10;],1,0.545
18122301,1,21,b,-2,56,1,1.3,[80 -70;40 -60;70 -60;30 -30;10 -70;30 -50;40 -20;70 -50;20 -50;80 -30;20 -10;40 -80;],[5;-4;-13;0;15;1;2;4;-2;5;-4;-10;],1,1.315
18122301,1,21,b,-2,106,0,1.3,[10 -70;40 -20;],[6;20;],1,1.584
18122301,1,21,b,-2,153,0,1.3,[40 -70;60 -70;50 -30;],[1;-7;20;],1,1.361
18122301,1,21,b,-2,99,0,1.3,[50 -70;80 -30;10 -70;40 -60;80 -80;20 -20;50 -60;],[-1;-3;-2;2;-4;1;0;],1,1.150
18122301,1,21,b,-2,147,1,1.3,[20 -50;30 -10;60 -30;60 -10;70 -10;10 -10;60 -70;],[-2;9;4;-5;-10;-12;0;],1,0.518
18122301,1,21,b,-2,184,0,1.3,[60 -50;80 -40;20 -50;40 -10;40 -50;50 -50;40 -40;],[-6;10;-7;-9;7;-4;-10;],0,1.707
18122301,1,21,b,-2,53,1,1.3,[50 -60;20 -40;],[1;0;],1,1.188
18122301,1,21,b,1,1,1,1.3,[30 -60;10 -60;20 -30;60 -10;10 -80;70 -60;],[1;-3;1;-3;-3;10;],1,1.309
18122301,1,21,b,1,2,1,1.3,[60 -60;10 -60;],[0;-10;],1,1.124
