sub_id, sub_sex, sub_age, gain_color, block_id, trial_id, gain_on_left, gamble_duration, gambles, sure_reward, choose_sure, reaction_time
18121401,0,21,b,-1,127,0,1.5,[3 -8;1 -4;2 -6;5 -4;6 -1;6 -3;6 -6;],[1;-2;-3;-3;-6;5;-1;],0,8.464
18121401,0,21,b,-1,18,1,1.5,[2 -7;1 -4;7 -1;1 -2;6 -2;7 -2;4 -7;],[0;4;1;4;1;6;-1;],0,2.950
18121401,0,21,b,-1,98,1,1.5,[2 -8;1 -6;5 -1;7 -7;4 -2;1 -2;8 -4;],[7;7;-2;-5;0;0;-1;],0,3.264
18121401,0,21,b,-2,91,1,1.5,[7 -3;3 -2;7 -7;3 -1;8 -3;4 -3;1 -8;],[-3;-4;3;-4;-3;-1;1;],NaN,NaN
18121401,0,21,b,-2,162,1,1.5,[2 -6;4 -6;2 -1;8 -2;8 -5;4 -1;7 -4;],[2;5;-8;5;2;2;-2;],1,0.874
18121401,0,21,b,-2,93,1,1.5,[1 -4;8 -8;5 -2;7 -6;2 -7;3 -2;2 -3;],[-2;0;2;-2;2;4;0;],0,1.264
18121401,0,21,b,-2,157,1,1.5,[5 -1;5 -6;7 -2;8 -1;3 -5;1 -3;1 -4;],[5;3;8;2;-3;1;-2;],1,0.910
18121401,0,21,b,-2,104,1,1.5,[5 -7;2 -6;2 -2;4 -1;1 -6;1 -5;],[2;-3;-5;5;-4;0;],1,1.092
18121401,0,21,b,-2,45,0,1.5,[3 -5;4 -8;6 -8;6 -7;1 -6;7 -7;2 -8;],[-8;6;-1;-6;-5;0;1;],0,1.443
18121401,0,21,b,-2,153,1,1.5,[4 -6;4 -5;2 -1;7 -5;6 -2;2 -3;7 -2;],[-1;6;7;7;1;1;0;],1,0.749
18121401,0,21,b,-2,83,0,1.5,[8 -5;6 -7;6 -6;5 -7;5 -5;1 -6;7 -1;],[-5;6;5;-5;0;-1;-2;],0,0.899
18121401,0,21,b,-2,160,0,1.5,[1 -8;3 -5;1 -1;1 -5;4 -5;5 -6;4 -4;],[2;1;-6;-6;8;2;-1;],0,0.821
18121401,0,21,b,-2,124,1,1.5,[7 -8;4 -1;8 -4;8 -5;8 -3;3 -2;1 -1;],[7;-7;6;-2;0;-7;-1;],1,0.765
18121401,0,21,b,1,1,1,1.5,[2 -3;8 -3;3 -1;4 -4;5 -1;3 -5;6 -5;],[8;0;-3;8;-3;3;1;],1,0.815
18121401,0,21,b,1,2,1,1.5,[5 -3;4 -2;2 -5;7 -3;4 -4;4 -8;3 -7;],[-3;-1;0;-2;-3;6;2;],1,1.062
18121401,0,21,b,1,3,1,1.5,[4 -4;7 -1;6 -4;5 -2;2 -2;8 -5;7 -3;],[4;-6;-1;1;6;0;-1;],0,1.346
